Sex,Age,Calcium_mg_day,Selenium_microg_day,Zinc_moderate_bioavailability_mg_day,Iron_10bioavailability_mg_day,VitaminA_microg_RE_day
F,0-6 months,300,6,2.8,0,375
M,0-6 months,300,6,2.8,0,375
F,7-12 months,400,10,4.1,9.6,400
M,7-12 months,400,10,4.1,9.6,400
F,1-3 years,500,17,4.1,5.8,400
M,1-3 years,500,17,4.1,5.8,400
F,4-6 years,600,22,4.8,6.3,450
M,4-6 years,600,22,4.8,6.3,450
F,7-9 years,700,21,5.6,8.9,500
M,7-9 years,700,21,5.6,8.9,500
F,10-18 years,1300,26,7.2,25.9,600
M,10-18 years,1300,32,8.6,16.7,600
F,19-50 years,1000,26,4.9,29.4,500
M,19-50 years,1000,34,7,13.7,600
F,51-65 years,1300,26,4.9,11.3,500
M,51-65 years,1000,34,7,13.7,600
F,65+,1300,25,4.9,11.3,600
M,65+,1300,33,7,13.7,600
F,pregnant_tri1,1000,26,5.5,29.4,800
F,pregnant_tri2,1000,28,7,29.4,800
F,pregnant_tri3,1200,30,10,29.4,800
F,lactating_0-3mo,1000,35,9.5,30,850
F,lactating_3-6om,1000,35,8.8,30,850
F,lactating_7-12mo,1000,42,7.2,30,850